"slide_number","role","layout","title","headline","body","call_to_action","icons","image_prompt","design_notes","voiceover","alt_text","website","logo_asset","background_hex","text_hex","accent_hex","filename","medical_review_required","copy_review_required"
"1","hook","hero","One-Sided Hearing Loss","One-sided hearing changes deserve attention and compassionate support.","Hearing changes can affect communication, confidence, energy, and daily routines. This educational slide does not diagnose an individual and should be reviewed before publication.","","ear | support | brain","Create a 9:16 vertical social-media visual for Acoustic Neuroma Warrior. Slide role: hook. Layout direction: hero. Subject and visual concept: A calm, respectful visual representing hearing support and an Acoustic Neuroma warrior journey. Visual identity: premium medical-awareness aesthetic; dark emerald green and white palette with soft sage accents; bold serif-led title hierarchy; clean medical iconography; subtle botanical accents; hopeful, compassionate, and trustworthy tone; small official ANW logo; small subtle website branding. Palette: emerald #0B4D3B, sage #A8BFAF, cream #F7F1E7, white #FFFFFF. Use the small ANW shield logo with white awareness ribbon. Reserve clean negative space for editable title, body, and CTA overlays. Do not render paragraphs or tiny text inside the generated artwork. Avoid frightening imagery, exaggerated medical claims, graphic surgery, or guaranteed outcomes. The emotional tone must be compassionate, hopeful, medically respectful, and trustworthy. Small branding reference: acousticneuromawarrior.com.","Use clean medical icons, premium spacing, and an uncluttered composition. | Use Cormorant Garamond for titles and Montserrat for body copy. | Keep all important content inside the 72px left, 72px right, 120px top, and 150px bottom safe areas. | Footer: Acoustic Neuroma Warrior | acousticneuromawarrior.com.","Every hearing journey is individual, and support matters.","Educational slide 1 about one-sided hearing loss.","acousticneuromawarrior.com","ANW shield logo with white awareness ribbon","#F7F1E7","#20322C","#0B4D3B","2026-07-27_ANW_Carousel_one-sided-hearing-loss_9x16_S01_v01.png","true","false"
"2","introduction","editorial","What Warriors Should Know — 1","One-sided hearing changes deserve attention and compassionate support.","Hearing changes can affect communication, confidence, energy, and daily routines. This educational slide does not diagnose an individual and should be reviewed before publication.","","ear | support | brain","Create a 9:16 vertical social-media visual for Acoustic Neuroma Warrior. Slide role: introduction. Layout direction: editorial. Subject and visual concept: A calm, respectful visual representing hearing support and an Acoustic Neuroma warrior journey. Visual identity: premium medical-awareness aesthetic; dark emerald green and white palette with soft sage accents; bold serif-led title hierarchy; clean medical iconography; subtle botanical accents; hopeful, compassionate, and trustworthy tone; small official ANW logo; small subtle website branding. Palette: emerald #0B4D3B, sage #A8BFAF, cream #F7F1E7, white #FFFFFF. Use the small ANW shield logo with white awareness ribbon. Reserve clean negative space for editable title, body, and CTA overlays. Do not render paragraphs or tiny text inside the generated artwork. Avoid frightening imagery, exaggerated medical claims, graphic surgery, or guaranteed outcomes. The emotional tone must be compassionate, hopeful, medically respectful, and trustworthy. Small branding reference: acousticneuromawarrior.com.","Use clean medical icons, premium spacing, and an uncluttered composition. | Use Cormorant Garamond for titles and Montserrat for body copy. | Keep all important content inside the 72px left, 72px right, 120px top, and 150px bottom safe areas. | Footer: Acoustic Neuroma Warrior | acousticneuromawarrior.com.","Every hearing journey is individual, and support matters.","Educational slide 2 about one-sided hearing loss.","acousticneuromawarrior.com","ANW shield logo with white awareness ribbon","#F7F1E7","#20322C","#0B4D3B","2026-07-27_ANW_Carousel_one-sided-hearing-loss_9x16_S02_v01.png","true","false"
"3","education","split-visual","What Warriors Should Know — 2","One-sided hearing changes deserve attention and compassionate support.","Hearing changes can affect communication, confidence, energy, and daily routines. This educational slide does not diagnose an individual and should be reviewed before publication.","","ear | support | brain","Create a 9:16 vertical social-media visual for Acoustic Neuroma Warrior. Slide role: education. Layout direction: split-visual. Subject and visual concept: A calm, respectful visual representing hearing support and an Acoustic Neuroma warrior journey. Visual identity: premium medical-awareness aesthetic; dark emerald green and white palette with soft sage accents; bold serif-led title hierarchy; clean medical iconography; subtle botanical accents; hopeful, compassionate, and trustworthy tone; small official ANW logo; small subtle website branding. Palette: emerald #0B4D3B, sage #A8BFAF, cream #F7F1E7, white #FFFFFF. Use the small ANW shield logo with white awareness ribbon. Reserve clean negative space for editable title, body, and CTA overlays. Do not render paragraphs or tiny text inside the generated artwork. Avoid frightening imagery, exaggerated medical claims, graphic surgery, or guaranteed outcomes. The emotional tone must be compassionate, hopeful, medically respectful, and trustworthy. Small branding reference: acousticneuromawarrior.com.","Use clean medical icons, premium spacing, and an uncluttered composition. | Use Cormorant Garamond for titles and Montserrat for body copy. | Keep all important content inside the 72px left, 72px right, 120px top, and 150px bottom safe areas. | Footer: Acoustic Neuroma Warrior | acousticneuromawarrior.com.","Every hearing journey is individual, and support matters.","Educational slide 3 about one-sided hearing loss.","acousticneuromawarrior.com","ANW shield logo with white awareness ribbon","#F7F1E7","#20322C","#0B4D3B","2026-07-27_ANW_Carousel_one-sided-hearing-loss_9x16_S03_v01.png","true","false"
"4","education","split-visual","What Warriors Should Know — 3","One-sided hearing changes deserve attention and compassionate support.","Hearing changes can affect communication, confidence, energy, and daily routines. This educational slide does not diagnose an individual and should be reviewed before publication.","","ear | support | brain","Create a 9:16 vertical social-media visual for Acoustic Neuroma Warrior. Slide role: education. Layout direction: split-visual. Subject and visual concept: A calm, respectful visual representing hearing support and an Acoustic Neuroma warrior journey. Visual identity: premium medical-awareness aesthetic; dark emerald green and white palette with soft sage accents; bold serif-led title hierarchy; clean medical iconography; subtle botanical accents; hopeful, compassionate, and trustworthy tone; small official ANW logo; small subtle website branding. Palette: emerald #0B4D3B, sage #A8BFAF, cream #F7F1E7, white #FFFFFF. Use the small ANW shield logo with white awareness ribbon. Reserve clean negative space for editable title, body, and CTA overlays. Do not render paragraphs or tiny text inside the generated artwork. Avoid frightening imagery, exaggerated medical claims, graphic surgery, or guaranteed outcomes. The emotional tone must be compassionate, hopeful, medically respectful, and trustworthy. Small branding reference: acousticneuromawarrior.com.","Use clean medical icons, premium spacing, and an uncluttered composition. | Use Cormorant Garamond for titles and Montserrat for body copy. | Keep all important content inside the 72px left, 72px right, 120px top, and 150px bottom safe areas. | Footer: Acoustic Neuroma Warrior | acousticneuromawarrior.com.","Every hearing journey is individual, and support matters.","Educational slide 4 about one-sided hearing loss.","acousticneuromawarrior.com","ANW shield logo with white awareness ribbon","#F7F1E7","#20322C","#0B4D3B","2026-07-27_ANW_Carousel_one-sided-hearing-loss_9x16_S04_v01.png","true","false"
"5","education","split-visual","What Warriors Should Know — 4","One-sided hearing changes deserve attention and compassionate support.","Hearing changes can affect communication, confidence, energy, and daily routines. This educational slide does not diagnose an individual and should be reviewed before publication.","","ear | support | brain","Create a 9:16 vertical social-media visual for Acoustic Neuroma Warrior. Slide role: education. Layout direction: split-visual. Subject and visual concept: A calm, respectful visual representing hearing support and an Acoustic Neuroma warrior journey. Visual identity: premium medical-awareness aesthetic; dark emerald green and white palette with soft sage accents; bold serif-led title hierarchy; clean medical iconography; subtle botanical accents; hopeful, compassionate, and trustworthy tone; small official ANW logo; small subtle website branding. Palette: emerald #0B4D3B, sage #A8BFAF, cream #F7F1E7, white #FFFFFF. Use the small ANW shield logo with white awareness ribbon. Reserve clean negative space for editable title, body, and CTA overlays. Do not render paragraphs or tiny text inside the generated artwork. Avoid frightening imagery, exaggerated medical claims, graphic surgery, or guaranteed outcomes. The emotional tone must be compassionate, hopeful, medically respectful, and trustworthy. Small branding reference: acousticneuromawarrior.com.","Use clean medical icons, premium spacing, and an uncluttered composition. | Use Cormorant Garamond for titles and Montserrat for body copy. | Keep all important content inside the 72px left, 72px right, 120px top, and 150px bottom safe areas. | Footer: Acoustic Neuroma Warrior | acousticneuromawarrior.com.","Every hearing journey is individual, and support matters.","Educational slide 5 about one-sided hearing loss.","acousticneuromawarrior.com","ANW shield logo with white awareness ribbon","#F7F1E7","#20322C","#0B4D3B","2026-07-27_ANW_Carousel_one-sided-hearing-loss_9x16_S05_v01.png","true","false"
"6","education","split-visual","What Warriors Should Know — 5","One-sided hearing changes deserve attention and compassionate support.","Hearing changes can affect communication, confidence, energy, and daily routines. This educational slide does not diagnose an individual and should be reviewed before publication.","","ear | support | brain","Create a 9:16 vertical social-media visual for Acoustic Neuroma Warrior. Slide role: education. Layout direction: split-visual. Subject and visual concept: A calm, respectful visual representing hearing support and an Acoustic Neuroma warrior journey. Visual identity: premium medical-awareness aesthetic; dark emerald green and white palette with soft sage accents; bold serif-led title hierarchy; clean medical iconography; subtle botanical accents; hopeful, compassionate, and trustworthy tone; small official ANW logo; small subtle website branding. Palette: emerald #0B4D3B, sage #A8BFAF, cream #F7F1E7, white #FFFFFF. Use the small ANW shield logo with white awareness ribbon. Reserve clean negative space for editable title, body, and CTA overlays. Do not render paragraphs or tiny text inside the generated artwork. Avoid frightening imagery, exaggerated medical claims, graphic surgery, or guaranteed outcomes. The emotional tone must be compassionate, hopeful, medically respectful, and trustworthy. Small branding reference: acousticneuromawarrior.com.","Use clean medical icons, premium spacing, and an uncluttered composition. | Use Cormorant Garamond for titles and Montserrat for body copy. | Keep all important content inside the 72px left, 72px right, 120px top, and 150px bottom safe areas. | Footer: Acoustic Neuroma Warrior | acousticneuromawarrior.com.","Every hearing journey is individual, and support matters.","Educational slide 6 about one-sided hearing loss.","acousticneuromawarrior.com","ANW shield logo with white awareness ribbon","#F7F1E7","#20322C","#0B4D3B","2026-07-27_ANW_Carousel_one-sided-hearing-loss_9x16_S06_v01.png","true","false"
"7","education","split-visual","What Warriors Should Know — 6","One-sided hearing changes deserve attention and compassionate support.","Hearing changes can affect communication, confidence, energy, and daily routines. This educational slide does not diagnose an individual and should be reviewed before publication.","","ear | support | brain","Create a 9:16 vertical social-media visual for Acoustic Neuroma Warrior. Slide role: education. Layout direction: split-visual. Subject and visual concept: A calm, respectful visual representing hearing support and an Acoustic Neuroma warrior journey. Visual identity: premium medical-awareness aesthetic; dark emerald green and white palette with soft sage accents; bold serif-led title hierarchy; clean medical iconography; subtle botanical accents; hopeful, compassionate, and trustworthy tone; small official ANW logo; small subtle website branding. Palette: emerald #0B4D3B, sage #A8BFAF, cream #F7F1E7, white #FFFFFF. Use the small ANW shield logo with white awareness ribbon. Reserve clean negative space for editable title, body, and CTA overlays. Do not render paragraphs or tiny text inside the generated artwork. Avoid frightening imagery, exaggerated medical claims, graphic surgery, or guaranteed outcomes. The emotional tone must be compassionate, hopeful, medically respectful, and trustworthy. Small branding reference: acousticneuromawarrior.com.","Use clean medical icons, premium spacing, and an uncluttered composition. | Use Cormorant Garamond for titles and Montserrat for body copy. | Keep all important content inside the 72px left, 72px right, 120px top, and 150px bottom safe areas. | Footer: Acoustic Neuroma Warrior | acousticneuromawarrior.com.","Every hearing journey is individual, and support matters.","Educational slide 7 about one-sided hearing loss.","acousticneuromawarrior.com","ANW shield logo with white awareness ribbon","#F7F1E7","#20322C","#0B4D3B","2026-07-27_ANW_Carousel_one-sided-hearing-loss_9x16_S07_v01.png","true","false"
"8","education","split-visual","What Warriors Should Know — 7","One-sided hearing changes deserve attention and compassionate support.","Hearing changes can affect communication, confidence, energy, and daily routines. This educational slide does not diagnose an individual and should be reviewed before publication.","","ear | support | brain","Create a 9:16 vertical social-media visual for Acoustic Neuroma Warrior. Slide role: education. Layout direction: split-visual. Subject and visual concept: A calm, respectful visual representing hearing support and an Acoustic Neuroma warrior journey. Visual identity: premium medical-awareness aesthetic; dark emerald green and white palette with soft sage accents; bold serif-led title hierarchy; clean medical iconography; subtle botanical accents; hopeful, compassionate, and trustworthy tone; small official ANW logo; small subtle website branding. Palette: emerald #0B4D3B, sage #A8BFAF, cream #F7F1E7, white #FFFFFF. Use the small ANW shield logo with white awareness ribbon. Reserve clean negative space for editable title, body, and CTA overlays. Do not render paragraphs or tiny text inside the generated artwork. Avoid frightening imagery, exaggerated medical claims, graphic surgery, or guaranteed outcomes. The emotional tone must be compassionate, hopeful, medically respectful, and trustworthy. Small branding reference: acousticneuromawarrior.com.","Use clean medical icons, premium spacing, and an uncluttered composition. | Use Cormorant Garamond for titles and Montserrat for body copy. | Keep all important content inside the 72px left, 72px right, 120px top, and 150px bottom safe areas. | Footer: Acoustic Neuroma Warrior | acousticneuromawarrior.com.","Every hearing journey is individual, and support matters.","Educational slide 8 about one-sided hearing loss.","acousticneuromawarrior.com","ANW shield logo with white awareness ribbon","#F7F1E7","#20322C","#0B4D3B","2026-07-27_ANW_Carousel_one-sided-hearing-loss_9x16_S08_v01.png","true","false"
"9","takeaways","summary","What Warriors Should Know — 8","One-sided hearing changes deserve attention and compassionate support.","Hearing changes can affect communication, confidence, energy, and daily routines. This educational slide does not diagnose an individual and should be reviewed before publication.","","ear | support | brain","Create a 9:16 vertical social-media visual for Acoustic Neuroma Warrior. Slide role: takeaways. Layout direction: summary. Subject and visual concept: A calm, respectful visual representing hearing support and an Acoustic Neuroma warrior journey. Visual identity: premium medical-awareness aesthetic; dark emerald green and white palette with soft sage accents; bold serif-led title hierarchy; clean medical iconography; subtle botanical accents; hopeful, compassionate, and trustworthy tone; small official ANW logo; small subtle website branding. Palette: emerald #0B4D3B, sage #A8BFAF, cream #F7F1E7, white #FFFFFF. Use the small ANW shield logo with white awareness ribbon. Reserve clean negative space for editable title, body, and CTA overlays. Do not render paragraphs or tiny text inside the generated artwork. Avoid frightening imagery, exaggerated medical claims, graphic surgery, or guaranteed outcomes. The emotional tone must be compassionate, hopeful, medically respectful, and trustworthy. Small branding reference: acousticneuromawarrior.com.","Use clean medical icons, premium spacing, and an uncluttered composition. | Use Cormorant Garamond for titles and Montserrat for body copy. | Keep all important content inside the 72px left, 72px right, 120px top, and 150px bottom safe areas. | Footer: Acoustic Neuroma Warrior | acousticneuromawarrior.com.","Every hearing journey is individual, and support matters.","Educational slide 9 about one-sided hearing loss.","acousticneuromawarrior.com","ANW shield logo with white awareness ribbon","#F7F1E7","#20322C","#0B4D3B","2026-07-27_ANW_Carousel_one-sided-hearing-loss_9x16_S09_v01.png","true","false"
"10","cta","call-to-action","You Are Not Alone.","Support, education, and hope","Continue learning, prepare your questions, and visit acousticneuromawarrior.com.","Visit acousticneuromawarrior.com — You Are Not Alone.","ear | support | brain","Create a 9:16 vertical social-media visual for Acoustic Neuroma Warrior. Slide role: cta. Layout direction: call-to-action. Subject and visual concept: A calm, respectful visual representing hearing support and an Acoustic Neuroma warrior journey. Visual identity: premium medical-awareness aesthetic; dark emerald green and white palette with soft sage accents; bold serif-led title hierarchy; clean medical iconography; subtle botanical accents; hopeful, compassionate, and trustworthy tone; small official ANW logo; small subtle website branding. Palette: emerald #0B4D3B, sage #A8BFAF, cream #F7F1E7, white #FFFFFF. Use the small ANW shield logo with white awareness ribbon. Reserve clean negative space for editable title, body, and CTA overlays. Do not render paragraphs or tiny text inside the generated artwork. Avoid frightening imagery, exaggerated medical claims, graphic surgery, or guaranteed outcomes. The emotional tone must be compassionate, hopeful, medically respectful, and trustworthy. Small branding reference: acousticneuromawarrior.com.","Use clean medical icons, premium spacing, and an uncluttered composition. | Use Cormorant Garamond for titles and Montserrat for body copy. | Keep all important content inside the 72px left, 72px right, 120px top, and 150px bottom safe areas. | Footer: Acoustic Neuroma Warrior | acousticneuromawarrior.com.","You are not alone.","Educational slide 10 about one-sided hearing loss.","acousticneuromawarrior.com","ANW shield logo with white awareness ribbon","#F7F1E7","#20322C","#0B4D3B","2026-07-27_ANW_Carousel_one-sided-hearing-loss_9x16_S10_v01.png","true","false"
